"Age band", "2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2","2023Q3","2023Q4","2024Q1","2024Q2","2024Q3","2024Q4","2025Q1"
"0-4 years",53,60,62,64,69,65,68,68,74,76,92,115,126,154,165,171,196,214,249,267,339,366,388,415,518,566,679,806,1051,1253,1713,2119,2731,3045,3416,3928,4392,4350,4526,4695,4862,4759,4858,4873,4909,4778,4739,4676,4643,4553,4599,4611,4622,4600,4590,4446,4301,4189,4097,3929,3798,3701,3586,3514,3464,3432,3404,3318,3272
"5-9 years",61,60,60,61,61,62,62,67,74,74,80,104,109,135,144,150,166,188,212,238,286,320,358,384,490,555,652,793,996,1262,1728,2177,2773,3245,3570,3902,4184,4338,4451,4555,4596,4539,4499,4512,4549,4316,4288,4320,4415,4204,4211,4227,4332,4074,4105,4213,4387,4164,4213,4275,4412,4314,4402,4434,4482,4377,4375,4324,4325
"10-14 years",43,42,47,48,50,52,53,57,64,73,73,77,92,99,112,123,132,140,137,159,189,196,218,249,316,353,417,542,686,883,1164,1484,1852,2235,2494,2749,2936,3123,3235,3345,3389,3544,3668,3725,3759,3897,3943,3961,3987,4012,4052,4077,4102,4142,4168,4147,4136,4113,4137,4168,4207,4116,4059,4072,4129,3920,3916,3937,4037
"15-19 years",26,29,28,30,33,31,34,38,45,43,45,58,66,76,77,87,94,90,94,101,122,148,166,187,252,314,383,487,699,893,1120,1347,1707,2043,2371,2626,2727,2746,2783,2825,2861,2880,2912,2929,2921,2897,2888,2868,2863,2899,2931,2955,2961,3033,3067,3120,3107,3153,3205,3240,3260,3345,3419,3461,3516,3651,3697,3744,3792
"20-24 years",38,36,35,36,38,39,36,40,53,63,79,100,109,121,139,154,170,170,177,194,228,230,247,273,343,388,482,641,872,1093,1325,1448,1808,2065,2334,2640,2743,2809,2825,2861,2853,2869,2875,2896,2939,2947,2963,2961,2955,2990,2979,2983,2973,2971,2985,2986,2981,2955,2944,2941,2938,2936,2948,2932,2936,2964,2966,2987,2990
"25-29 years",84,92,89,87,87,87,90,95,116,124,135,168,193,211,232,279,288,331,349,363,426,445,470,501,609,666,786,995,1332,1693,1997,2279,2641,2954,3180,3355,3454,3485,3456,3400,3379,3334,3291,3252,3197,3213,3160,3098,3043,3034,3027,2982,2998,2992,2956,2960,2931,2954,2952,2930,2920,2936,2942,2973,3005,3044,3087,3118,3129
"30-34 years",118,113,116,117,123,126,127,133,135,135,150,172,179,205,229,259,279,306,329,358,391,437,463,492,595,683,817,1054,1394,1819,2143,2353,2676,2967,3166,3388,3479,3662,3702,3734,3724,3792,3780,3748,3723,3675,3691,3690,3684,3657,3627,3629,3568,3621,3595,3517,3484,3450,3394,3322,3298,3255,3226,3179,3119,3153,3111,3048,3016
"35-39 years",85,85,82,86,89,97,103,109,128,142,146,150,166,175,173,190,208,232,254,270,322,348,391,426,502,573,662,856,1086,1422,1699,1894,2186,2378,2533,2681,2781,2874,2870,2898,2922,3041,3046,3073,3110,3247,3249,3266,3252,3385,3399,3374,3351,3406,3431,3441,3401,3499,3515,3535,3520,3584,3571,3565,3552,3521,3534,3536,3538
"40-44 years",73,76,78,82,86,82,82,82,85,86,94,103,105,112,116,120,130,141,152,157,175,192,214,246,317,363,438,574,761,987,1134,1282,1421,1578,1694,1828,1854,1942,2034,2093,2098,2169,2221,2281,2271,2348,2366,2388,2363,2438,2492,2559,2608,2651,2648,2673,2691,2739,2708,2712,2743,2840,2835,2858,2898,3026,3024,3028,3023
"45-49 years",41,45,46,50,50,52,54,58,61,65,64,68,70,77,83,91,97,99,105,118,125,136,145,152,183,212,262,319,444,578,645,729,833,911,1005,1067,1102,1166,1233,1262,1290,1343,1401,1416,1428,1467,1485,1506,1575,1636,1667,1689,1709,1777,1809,1837,1832,1883,1931,1969,1966,2030,2061,2117,2109,2191,2216,2251,2231
"50-54 years",18,21,21,23,25,25,24,27,29,29,33,36,40,45,43,45,44,50,58,63,73,70,77,89,94,107,133,165,226,291,340,382,434,491,546,623,655,687,714,757,768,811,856,894,924,953,986,985,996,1010,1022,1046,1078,1103,1132,1125,1130,1168,1213,1215,1237,1280,1325,1331,1348,1396,1415,1430,1496
"55-59 years",9,9,8,8,8,11,11,11,12,15,14,12,16,16,17,19,22,24,22,25,28,36,43,51,62,71,83,98,124,165,193,211,251,286,311,342,345,369,402,414,424,431,449,456,459,481,497,513,513,533,558,572,583,608,632,663,679,693,710,730,733,774,807,831,852,869,901,912,921
"60-64 years",5,5,6,6,6,7,9,10,10,9,9,11,11,10,9,10,11,8,9,10,12,14,13,16,23,38,45,51,61,70,77,82,94,110,131,168,185,205,208,218,227,250,252,263,271,279,280,295,301,328,340,351,357,377,379,376,359,367,389,394,404,401,412,415,422,448,462,474,473
"65-69 years",2,2,2,2,2,2,2,2,2,3,4,3,3,4,3,4,4,7,8,8,9,10,15,14,23,31,36,41,46,49,56,60,71,78,87,99,105,106,109,115,115,120,123,127,129,138,145,146,151,150,155,160,162,169,174,182,189,198,200,196,199,222,224,233,238,247,253,267,280
"70-74 years",5,5,5,5,4,2,2,2,2,3,3,4,3,2,3,4,4,4,2,2,2,2,1,3,8,12,16,18,19,26,28,34,41,39,43,51,55,57,58,58,64,75,78,79,85,90,88,86,88,91,90,87,91,99,102,102,107,106,103,107,105,109,108,109,107,115,122,124,128
"75-79 years",4,4,4,3,5,7,7,7,7,7,7,6,6,7,6,6,6,5,7,6,6,5,5,6,9,12,12,12,11,12,13,17,18,16,20,25,26,29,30,30,31,29,31,33,34,35,38,41,41,46,50,52,50,48,50,53,52,52,52,55,57,63,67,68,71,76,73,72,73
"80-84 years",1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,2,3,3,3,3,4,7,9,9,11,8,9,9,10,11,12,15,15,17,17,14,13,16,16,14,13,14,15,16,15,17,18,20,22,20,22,21,21,24,24,24,26,24,25,27,26,26,27,28,30
"85-89 years",3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,4,4,4,5,7,8,8,8,8,9,9,9,9,10,9,9,8,8,10,9,10,8,9,9,8,8,10,9,9,8,9,10,11,10
"90-94 years",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,3,3,3,3,2,2,2,3,4,4,3,3,3,4,4,4,4,4
"95-99 years",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

