"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"

"Copenhagen",3,2,2,1,8,4,0,4,5,1,7,6,11,15,9,17,7,14
"Frederiksberg",0,0,1,0,1,1,1,0,0,5,1,0,0,3,5,6,1,4
"Dragør",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1
"Tårnby",0,0,0,0,0,0,0,0,4,4,1,0,6,6,9,3,1,11
"Albertslund",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Ballerup",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
"Brøndby",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0
"Gentofte",0,0,0,0,0,1,0,0,0,0,4,8,20,11,14,1,5,0
"Gladsaxe",0,0,0,0,0,0,1,0,0,0,1,1,0,7,2,3,3,7
"Glostrup",0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,2,0
"Herlev",0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,6,0,0
"Hvidovre",0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0
"Høje-Taastrup",1,1,0,1,0,1,1,0,0,0,2,0,0,0,3,3,0,0
"Ishøj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lyngby-Taarbæk",0,1,1,1,0,0,0,0,0,2,0,2,9,3,0,4,5,1
"Rødovre",0,0,0,1,0,0,0,0,0,0,2,5,1,2,1,0,0,0
"Vallensbæk",0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0
"Allerød",0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,4,0
"Egedal",0,0,0,0,0,0,0,0,0,3,8,2,2,4,4,0,1,1
"Fredensborg",0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,3,5,2
"Frederikssund",0,0,0,0,0,0,0,0,0,0,6,11,5,2,7,2,1,1
"Furesø",0,0,0,0,0,0,0,0,0,0,3,9,4,1,6,11,7,0
"Gribskov",0,0,0,0,0,0,0,1,1,3,13,8,4,5,4,4,8,6
"Halsnæs",0,0,0,0,0,1,0,0,0,0,0,2,6,3,9,3,3,0
"Helsingør",0,0,0,0,0,0,0,0,1,6,2,13,3,2,12,5,4,12
"Hillerød",0,0,0,0,0,0,0,0,0,0,12,2,18,2,2,5,16,6
"Hørsholm",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,3
"Rudersdal",0,0,0,1,0,0,0,0,0,1,12,2,6,7,4,13,2,2
"Bornholm",0,0,0,0,0,0,0,0,1,0,0,1,22,4,3,1,8,6
"Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greve",0,0,0,0,0,0,0,1,0,0,3,3,9,2,6,2,1,1
"Køge",0,0,0,0,1,0,0,0,0,1,4,2,6,6,16,13,6,7
"Lejre",0,0,0,0,0,0,0,0,5,10,2,0,9,1,8,4,2,5
"Roskilde",0,0,0,1,0,1,0,0,2,3,11,7,1,6,21,6,8,3
"Solrød",0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,7,6,0
"Faxe",0,0,0,0,0,0,0,0,1,4,8,11,7,15,23,5,7,4
"Guldborgsund",0,0,0,0,0,0,0,0,0,6,11,8,11,8,4,24,4,9
"Holbæk",0,0,0,0,0,0,0,0,0,8,2,6,8,5,11,1,2,2
"Kalundborg",0,0,0,1,1,0,0,0,0,8,7,4,18,7,2,5,10,17
"Lolland",0,0,0,0,0,0,0,0,1,4,2,5,15,3,7,10,2,9
"Næstved",0,0,0,0,0,0,0,0,0,0,3,10,22,11,16,6,17,21
"Odsherred",0,0,0,0,0,0,0,1,0,0,4,15,13,1,9,19,16,16
"Ringsted",0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,14,10,3
"Slagelse",0,0,0,0,0,0,0,1,5,0,3,1,27,3,21,25,8,14
"Sorø",0,0,0,0,0,0,0,0,1,2,5,1,0,5,0,0,7,16
"Stevns",0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,2,0,2
"Vordingborg",0,0,0,0,0,0,0,0,2,8,18,26,5,11,27,33,9,8
"Assens",0,0,0,0,0,0,0,0,2,5,15,23,13,3,2,8,1,6
"Faaborg-Midtfyn",0,0,0,0,0,0,0,0,0,12,11,10,7,0,2,8,4,17
"Kerteminde",0,0,0,0,0,0,0,0,0,1,10,4,3,18,6,7,0,0
"Langeland",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2
"Middelfart",0,0,0,0,0,0,0,0,3,3,3,8,16,2,6,5,6,1
"Nordfyns",0,0,0,0,0,0,0,0,0,2,2,11,5,5,5,5,4,5
"Nyborg",0,0,0,0,0,0,0,0,0,6,7,9,7,11,15,9,0,5
"Odense",1,0,0,1,3,1,1,0,1,1,18,8,10,20,6,9,7,13
"Svendborg",0,0,0,0,0,0,0,0,0,3,10,1,8,0,4,8,0,0
"Ærø",0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
"Billund",0,0,0,0,0,0,0,0,0,0,1,6,11,3,25,18,5,4
"Esbjerg",0,0,0,0,3,0,0,2,3,12,23,24,56,21,55,25,4,11
"Fanø",0,0,0,0,0,0,0,0,0,0,0,2,11,0,3,7,0,0
"Fredericia",0,0,0,0,0,0,0,0,1,2,5,6,1,1,1,11,9,12
"Haderslev",1,0,0,0,0,0,0,0,0,12,4,14,38,20,12,10,9,17
"Kolding",0,0,0,0,2,0,0,3,0,4,17,2,24,13,11,17,5,3
"Sønderborg",0,0,0,0,0,0,0,0,1,0,9,17,26,12,30,23,7,15
"Tønder",0,0,0,0,0,0,0,0,0,7,13,25,24,0,15,16,8,0
"Varde",0,0,0,0,0,2,0,0,0,1,18,12,3,10,9,8,2,5
"Vejen",0,0,0,0,0,0,0,0,0,3,4,2,14,5,31,20,4,4
"Vejle",0,0,3,0,0,1,1,0,1,0,35,14,10,9,7,23,8,10
"Aabenraa",0,0,0,0,0,0,0,1,3,10,26,46,14,12,13,4,19,2
"Favrskov",0,0,0,1,0,0,0,1,3,13,7,0,15,1,16,10,0,10
"Hedensted",0,0,0,0,0,1,1,0,3,6,0,3,12,3,7,7,4,5
"Horsens",0,0,0,0,0,0,0,0,1,8,10,31,26,20,16,37,21,11
"Norddjurs",0,0,0,0,0,0,0,0,0,3,7,0,37,1,1,5,3,3
