"Position","Region","Beskrivelse","Source"
"Audiologiassistent","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Farmakonom","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Frisør","Region Sjælland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Handicaphjælper","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Hospitalsserviceassistent","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Hospitalsserviceassistent","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Negletekniker","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Plejehjemsmedhjælper","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Radiograf","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Radiograf","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Social Og Sundhedsassistent","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Social Og Sundhedshjælper","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Social Og Sundhedshjælper","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Social Og Sundhedshjælper","Nordjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Social Og Sundhedshjælper","Region Sjælland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Sygeplejerske","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Sygeplejerske","Region Sjælland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Tandklinikassistent","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Tandklinikassistent","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Tandplejer","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Tandplejer","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Dagplejer","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Graver","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Graver","Region Nordjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Graver","Region Sjælland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Graver","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Graver","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Kirketjener","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Kordegn","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Pædagog","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Pædagog","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Pædagogisk Assistent","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Pædagogmedhjælper","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Pædagogmedhjælper","Region Sjælland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Socialformidler","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Socialpædagog","Region Syddanmark","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Socialpædagog","Region Hovedstaden","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Socialpædagog","Region Sjælland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
"Socialpædagog","Region Midtjylland","Recruitment gap","https://arbejdsmarkedsbalancen.dk/"
