"Kommune","2008Q1","2009Q1","2010Q1","2011Q1","2012Q1","2013Q1","2014Q1","2015Q1","2016Q1","2017Q1","2018Q1","2019Q1","2020Q1","2021Q1","2022Q1","2023Q1","2024Q1","2025Q1"

"Copenhagen",134,141,141,157,166,175,178,200,216,345,463,542,599,666,727,763,757,757
"Frederiksberg",18,16,18,16,23,23,28,68,148,247,291,301,317,327,319,321,313,316
"Dragør",1,2,1,1,1,1,5,16,43,74,73,75,77,79,78,72,77,78
"Tårnby",3,5,6,5,7,10,15,38,79,122,134,158,158,165,161,167,178,168
"Albertslund",6,7,7,6,5,5,5,3,6,6,9,13,18,35,51,48,43,52
"Ballerup",3,4,4,4,5,6,9,12,37,56,70,80,85,92,105,101,112,99
"Brøndby",4,4,5,5,5,5,6,6,6,5,11,13,19,23,28,32,57,62
"Gentofte",1,1,6,7,4,10,20,55,113,213,245,256,233,238,229,228,209,233
"Gladsaxe",7,8,9,5,7,6,11,21,44,80,91,104,118,120,146,157,172,180
"Glostrup",1,1,1,1,2,1,0,0,16,27,38,45,36,39,44,58,59,57
"Herlev",2,1,1,1,1,2,3,6,12,26,34,37,39,44,46,45,48,51
"Hvidovre",5,5,7,5,6,7,10,23,37,49,67,67,75,91,110,127,132,148
"Høje-Taastrup",6,5,6,15,16,14,14,26,26,36,37,42,52,72,82,112,138,148
"Ishøj",1,1,1,1,2,2,2,4,2,2,6,10,15,17,12,14,24,31
"Lyngby-Taarbæk",4,4,5,4,10,12,16,46,127,181,230,251,253,265,277,274,271,263
"Rødovre",13,13,12,11,11,13,7,8,23,29,37,37,50,54,74,86,86,101
"Vallensbæk",0,0,1,0,2,1,1,4,19,23,21,21,28,28,24,26,43,43
"Allerød",12,14,14,15,10,13,19,60,144,209,215,218,207,227,232,241,242,248
"Egedal",2,2,2,14,20,25,39,87,158,220,238,244,250,253,244,238,237,237
"Fredensborg",2,2,6,4,3,4,4,10,48,90,114,113,111,112,110,121,118,128
"Frederikssund",10,5,7,14,17,16,19,63,217,290,325,321,304,313,327,342,360,391
"Furesø",1,0,0,0,0,0,3,36,95,141,149,135,141,153,153,165,162,155
"Gribskov",4,4,4,7,9,18,43,134,313,372,391,372,366,371,371,374,369,375
"Halsnæs",2,2,2,5,6,9,24,63,153,217,256,273,257,261,254,245,236,252
"Helsingør",11,9,4,4,11,17,31,61,138,230,266,273,283,271,251,263,260,271
"Hillerød",4,9,12,10,12,11,13,67,182,266,288,309,315,329,316,309,323,340
"Hørsholm",2,1,2,2,3,0,0,14,65,87,103,118,112,104,110,107,119,116
"Rudersdal",16,16,17,21,19,14,21,60,173,242,255,284,280,284,284,281,283,289
"Bornholm",7,2,2,2,1,2,2,82,158,236,244,232,226,205,200,185,163,156
"Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greve",7,8,4,3,6,10,29,65,158,188,208,221,231,225,221,241,255,273
"Køge",20,22,22,24,27,38,58,116,254,363,430,469,501,510,513,530,573,579
"Lejre",1,1,2,6,18,26,32,87,187,232,255,232,223,203,208,197,198,197
"Roskilde",6,6,10,13,26,33,60,119,288,440,478,516,553,555,547,547,555,537
"Solrød",0,0,0,9,14,27,52,98,190,235,246,253,255,265,259,260,265,248
"Faxe",7,9,16,30,26,35,65,137,256,345,365,348,337,327,304,283,282,282
"Guldborgsund",2,2,11,22,29,43,65,150,299,419,473,476,472,479,474,465,419,411
"Holbæk",12,12,13,5,5,14,27,93,268,366,409,427,443,482,481,491,489,506
"Kalundborg",6,6,8,12,31,50,94,161,300,447,484,485,459,455,423,408,396,378
"Lolland",2,2,2,5,10,26,67,152,225,305,317,323,290,293,285,262,261,240
"Næstved",7,6,6,17,26,63,74,129,320,447,504,519,523,542,563,544,531,534
"Odsherred",4,4,4,4,4,16,41,129,287,376,386,375,355,337,323,289,253,233
"Ringsted",3,4,4,5,3,3,7,34,76,95,105,109,124,129,131,119,142,141
"Slagelse",4,3,5,8,19,52,88,173,307,458,518,565,606,622,627,626,644,653
"Sorø",2,1,4,5,5,5,18,52,109,163,176,202,199,197,185,186,190,162
