"Year","Farming, forestry and fishing","Mining and quarrying","Manufacturing","Energy supply","Water supply and waste management","Construction","Trade (Wholesale and Retail)","Transport","Hotels and restaurants","Information and communication","Finance and insurance","Real estate activities","Knowledge services ","Travel agencies, cleaning, and other operational services","Public administration, education, and health
","Culture and leisure","Other service activities","Unspecified activity
"
"2008",0,0,20,0,0,0,15,4,10,0,0,0,0,15,20,0,0,8
"2009",0,0,12,0,0,0,15,6,8,0,0,0,0,16,23,0,0,6
"2010",0,0,12,0,0,0,14,5,13,0,0,0,0,14,30,0,0,5
"2011",0,0,16,0,0,3,16,3,23,0,0,0,5,16,32,10,0,0
"2012",0,0,23,0,0,5,17,3,30,0,0,0,6,17,35,16,4,0
"2013",0,0,33,0,0,10,21,5,41,4,0,0,6,19,41,8,6,0
"2014",0,0,40,0,0,16,27,8,59,5,0,0,9,26,39,5,9,0
"2015",6,0,74,0,0,29,63,18,103,8,0,0,18,44,55,6,18,4
"2016",25,0,283,0,4,112,267,48,261,20,8,12,46,126,148,14,56,11
"2017",57,4,675,0,11,246,564,126,511,32,15,22,69,272,282,29,113,30
"2018",52,5,975,0,13,313,763,291,694,27,21,25,79,403,424,30,143,33
"2019",47,8,1160,0,12,339,890,455,784,29,26,32,73,462,548,27,185,35
"2020",42,8,1213,0,13,372,919,563,708,27,16,26,62,451,655,23,208,34
"2021",36,7,1422,0,15,412,1052,827,786,59,12,24,67,679,863,30,228,47
"2022",30,6,1664,0,15,444,1211,1122,877,43,10,38,88,754,1248,37,277,55
"2023",27,7,1613,4,21,422,1248,1377,871,46,15,47,110,682,1593,36,307,46
"2024",23,5,1608,4,21,428,1313,1522,874,48,16,59,132,685,1787,37,338,38
