"Year","Farming, forestry and fishing","Mining and quarrying","Manufacturing","Energy supply","Water supply and waste management","Construction","Trade (Wholesale and Retail)","Transport","Hotels and restaurants","Information and communication","Finance and insurance","Real estate activities","Knowledge services ","Travel agencies, cleaning, and other operational services","Public administration, education, and health
","Culture and leisure","Other service activities","Unspecified activity
"
"2008",0,0,33,0,0,5,31,8,52,0,0,0,4,48,35,0,0,30
"2009",0,0,20,0,0,3,38,11,46,0,0,0,4,39,36,0,0,16
"2010",0,0,23,0,0,4,30,9,57,0,0,3,9,34,43,8,0,19
"2011",0,0,30,0,0,5,34,10,99,3,0,0,14,42,54,31,6,9
"2012",0,0,36,0,0,15,44,10,157,7,3,3,13,56,66,42,14,5
"2013",0,0,53,0,0,22,51,13,233,10,0,4,20,57,78,16,24,0
"2014",5,0,86,0,4,30,92,30,316,16,3,0,53,94,88,13,34,7
"2015",17,3,192,0,6,79,221,61,573,29,7,16,98,206,160,16,69,27
"2016",108,3,726,3,19,319,860,312,1405,71,15,59,201,660,473,68,223,54
"2017",169,6,1402,0,28,530,1497,607,2315,122,31,121,304,1238,817,130,357,168
"2018",133,7,1825,0,32,613,1885,976,3100,122,50,134,312,1699,1050,140,450,169
"2019",112,10,1958,0,26,637,2157,1151,3437,131,49,169,341,2015,1297,151,507,166
"2020",91,11,2017,0,33,647,2333,1336,3168,92,36,162,263,1959,1363,103,527,166
"2021",85,9,2438,0,33,772,2708,1878,3405,413,27,153,284,2914,1912,147,529,221
"2022",68,11,2696,0,36,816,3136,2265,3489,135,32,189,381,3103,2569,182,617,236
"2023",64,9,2568,6,45,729,3334,2994,3238,152,42,236,372,2654,2933,152,629,210
"2024",50,7,2544,10,40,754,3600,3205,3325,118,46,254,398,2644,3315,165,749,178
